interview_id,interviewee,paragraph_num,text,compound,positive,negative,neutral,sentiment
ALEX-001,Alex,1,"﻿That’s a really good question. In the world of digital influencing, there are definitely some key ethical standards that we should follow. For one, being upfront about transparency is huge. If I’m endorsing a product, I always make it clear if it’s a sponsored post or if I’m using affiliate links. I use hashtags like #ad or #sponsored so my followers know when there’s a financial connection. It’s all about keeping things honest and maintaining trust.",0.969,0.254,0.0,0.746,positive
ALEX-002,Alex,2,"Authenticity is another big one. I only promote products that I genuinely believe in and actually use myself. I wouldn’t want to push something just for a quick paycheck. For example, there was a chance to promote a supplement brand, but after looking into it, I felt it didn’t match my personal health values. So, I turned it down. It’s important to stay true to what you believe in and what’s best for your audience.",0.9565,0.236,0.0,0.764,positive
ALEX-003,Alex,3,"Honesty in reviews is also crucial. I aim to give a balanced view of any product I’m talking about. If there are any drawbacks or things that might not work for everyone, I make sure to mention them. Like, when I reviewed a new workout gadget, I talked about its benefits but also pointed out its size and price. Being upfront helps my followers make informed decisions and keeps the trust strong.",0.9559,0.232,0.0,0.768,positive
ALEX-004,Alex,4,"And then there’s the need to consider the impact of the products I’m promoting. I try to focus on brands that are not just good but also have positive values, like sustainability or ethical practices. For instance, I’ve promoted reusable water bottles from a company that’s really committed to reducing plastic waste. It’s about aligning promotions with values that matter to me and my audience.",0.975,0.331,0.061,0.608,positive
ALEX-005,Alex,5,"Definitely. There was a time when I was offered a big sponsorship deal to promote a weight loss supplement. After checking it out, I found it made some claims that seemed too good to be true and didn’t have solid scientific backing. I decided to pass on the deal, even though it was tempting financially. I explained my decision to my followers, and they really appreciated the honesty. It reinforced the importance of staying authentic and responsible.",0.965,0.272,0.025,0.703,positive
ALEX-006,Alex,6,"Another example is when I promoted a brand of reusable water bottles. I chose them because they’re all about cutting down on plastic waste and have strong ethical practices. By highlighting not just the product but also the company’s mission, I was able to align my promotion with my personal values and those of my audience.",0.765,0.155,0.05,0.795,positive
ALEX-007,Alex,7,"You know, I think it’s crucial to keep ethics front and center in this space. It’s all about building trust and staying true to what you believe in while promoting products that genuinely align with your values.",0.8834,0.255,0.0,0.745,positive
ALEX-008,Alex,8,"Honestly, I think it boils down to a few core principles: transparency, honesty, and responsibility. When we’re out here recommending products, it’s super important to be upfront about any partnerships or sponsorships. For me, that means tagging posts with “#ad” or “#sponsored” so everyone knows what’s going on behind the scenes.",0.8979,0.202,0.0,0.798,positive
ALEX-009,Alex,9,"I’m a big believer in doing my homework before I promote anything. I check out the ingredients, look into how the product is made, and if I’m unsure about anything, I’ll consult with experts. For example, before I endorsed a new supplement, I made sure to research it thoroughly and even had a chat with a nutritionist to make sure it was legit.",0.7351,0.133,0.029,0.838,positive
ALEX-010,Alex,10,"There was this one time I was offered a deal with a fitness gadget company, but after looking into it, I felt their claims were a bit too good to be true. I didn’t want to mislead my followers, so I passed on it. Instead, I focused on promoting something that I truly believed in and knew was going to be beneficial.",0.9747,0.316,0.0,0.684,positive
